repeat_number,repeat_measurement_range,measurement_in_repeat,dataset_row,inference_ms,compute_ms,cycle_ms,period_ms,start_jitter_ms,lateness_ms,deadline_miss
5,161–200,28,28,0.49007300003722776,1.0992080000278293,1.1374659999319192,100,0.1608629999054756,0.0,0
5,161–200,29,29,0.4393049999862342,1.0409580000896312,1.0806589999674543,100,0.1491809999834004,0.0,0
5,161–200,30,30,0.44686000001092907,1.0685339999554344,1.1092380000263802,100,0.09348799994768342,0.0,0
5,161–200,31,31,0.46396099992307427,1.084426000034,1.123638999956711,100,0.15151499997045903,0.0,0
5,161–200,32,32,0.47388900009082136,1.142926000056832,1.1943069999915679,100,0.09249899994756561,0.0,0
5,161–200,33,33,0.5014870000650262,1.1940890000232685,1.2405380000473087,100,0.22427699991567351,0.0,0
5,161–200,34,34,0.4275320000033389,1.042697999992015,1.0824290000073233,100,0.162477999992916,0.0,0
5,161–200,35,35,0.4699810000374782,1.1467959999436061,1.2012429999685992,100,0.10380799994891277,0.0,0
5,161–200,36,36,0.4856570000129068,1.2230629999976372,1.2717299999849274,100,0.09423799997421156,0.0,0
5,161–200,37,37,0.5137910000030388,1.1912300000176401,1.242290999925899,100,0.10594899993066065,0.0,0
5,161–200,38,38,0.34085699996921903,0.8313309999721241,0.8636689999548253,100,0.21499699994365074,0.0,0
5,161–200,39,39,0.3246739998985504,0.8779730000014752,0.9082199999284057,100,0.20894099998258753,0.0,0
5,161–200,40,40,0.2850779999334918,0.7747749999680309,0.8155210000495572,100,0.10189600004650856,0.0,0
6,201–240,1,1,0.3148910000163596,0.887190000071314,0.9182049999481023,100,0.20443999994768092,0.0,0
6,201–240,2,2,0.2770909999298965,0.7756920000474565,0.8067359999586188,100,0.19641699998373952,0.0,0
6,201–240,3,3,0.3464359999725275,0.8416480000050797,0.8747320000566106,100,0.2118939999036229,0.0,0
6,201–240,4,4,0.2849120000973926,0.8983530000250539,0.9283199999572389,100,0.1708439999674738,0.0,0
6,201–240,5,5,0.33899499999279215,0.9053960000073857,0.9446719999459674,100,0.2012930000319102,0.0,0
6,201–240,6,6,0.36192499999287975,0.8589320000282896,0.8896760000425274,100,0.2155070000071646,0.0,0
6,201–240,7,7,0.34479999999348365,0.8727089999638338,0.9048070000972075,100,0.22959999989780044,0.0,0
6,201–240,8,8,0.3484079999225287,0.8565040000121371,0.8889389999922059,100,0.21687999992536788,0.0,0
6,201–240,9,9,0.3353110000716697,0.9320369999841205,0.9690549999277209,100,0.12102200003027974,0.0,0
6,201–240,10,10,0.3011410000226533,0.9761640000078842,1.0411499999918306,100,0.16795399994862237,0.0,0
6,201–240,11,11,0.3096890000051644,0.8113320000120439,0.8422229999496267,100,0.19421899992266844,0.0,0
6,201–240,12,12,0.36575800004357006,0.8748620000460505,0.9150760000693481,100,0.2193559998886485,0.0,0
6,201–240,13,13,0.3420069999719999,0.8225220000213085,0.8535719999827052,100,0.21188399989569007,0.0,0
6,201–240,14,14,0.3354640000452491,0.8517380000512276,0.8838339999783784,100,0.20995900001707923,0.0,0
6,201–240,15,15,0.40272599994750635,0.9614509999664733,0.9951130000445119,100,0.16061799999533832,0.0,0
6,201–240,16,16,0.39664499990976765,0.9067600000207676,0.9386699999822667,100,0.21833300002072065,0.0,0
6,201–240,17,17,0.3626090000352633,0.8906790000082765,0.9252439999727358,100,0.21818399989115278,0.0,0
6,201–240,18,18,0.5493400000204929,1.18062599995028,1.2162009999201473,100,0.19270199993570714,0.0,0
6,201–240,19,19,0.512232000005497,1.405019000003449,1.465359000007993,100,0.14797699998325697,0.0,0
6,201–240,20,20,0.3820619999714836,1.134247999971194,1.1793620000162264,100,0.18376299999545154,0.0,0
6,201–240,21,21,0.3709530000151062,1.0021030000189057,1.040966000005028,100,0.19994000001588574,0.0,0
6,201–240,22,22,0.38035000000036234,1.2064669999745092,1.2425669999629463,100,0.18515099998239748,0.0,0
6,201–240,23,23,0.3898769999750584,1.153033000036885,1.1927990000231148,100,0.2375949999304794,0.0,0
6,201–240,24,24,0.5139549999739756,1.136093000013716,1.1752880000130972,100,0.18839000006209972,0.0,0
6,201–240,25,25,0.5204719999483132,1.1249990000123944,1.1703850000230887,100,0.18604599995342141,0.0,0
6,201–240,26,26,0.3727419999677295,1.1736879999943994,1.212256999906458,100,0.17840399993929168,0.0,0
6,201–240,27,27,0.36364499999308464,1.2075479999111849,1.2488630000007106,100,0.23399999997764098,0.0,0
6,201–240,28,28,0.5425130000276113,1.181867000013881,1.2164439999651222,100,0.17975799994474073,0.0,0
6,201–240,29,29,0.5493859999887718,1.2140440001076058,1.248732000021846,100,0.1915279999593622,0.0,0
6,201–240,30,30,0.35822699999243923,1.1687819999224303,1.2070630000380334,100,0.24883399998998357,0.0,0
6,201–240,31,31,0.3870430000461056,1.1469639999859282,1.185477000035462,100,0.20883199999843782,0.0,0
6,201–240,32,32,0.4573770000888544,1.1615149999215646,1.1988299999075025,100,0.20944599998529156,0.0,0
6,201–240,33,33,0.5888809999987643,1.2051760000986178,1.2390379999942525,100,0.17962299989449093,0.0,0
6,201–240,34,34,0.5011549999380804,1.1362350001036248,1.1735140000155297,100,0.19439799996234797,0.0,0
6,201–240,35,35,0.41671400003906456,1.29420099995059,1.3324789999842324,100,0.19325200003095233,0.0,0
6,201–240,36,36,0.5015370001046904,1.1408320000327876,1.1760429999867483,100,0.17797599991808966,0.0,0
6,201–240,37,37,0.40887199997996504,1.2850479999997333,1.342120000003888,100,0.18848399997750676,0.0,0
6,201–240,38,38,0.47309999990829965,1.0729519999586046,1.1114999999790598,100,0.1677499999459542,0.0,0
6,201–240,39,39,0.4340699999829667,0.9469760000229144,0.9776869999313931,100,0.1574740000478414,0.0,0
6,201–240,40,40,0.5900849999989077,1.381122999987383,1.4168369999651986,100,0.21440399996208725,0.0,0
7,241–280,1,1,0.31300500006636867,0.7958090000101947,0.8300330000565737,100,0.20080699994196038,0.0,0
7,241–280,2,2,0.2853119999599585,0.7964620000393552,0.838327999986177,100,0.18376699995314993,0.0,0
7,241–280,3,3,0.30636799999683717,0.7990389999577019,0.8314720000726084,100,0.2032339999686883,0.0,0
7,241–280,4,4,0.43251199997484946,0.9599049999451381,0.9892279999803577,100,0.15700300002663425,0.0,0
7,241–280,5,5,0.614886999983355,1.2030840000534226,1.2358730000414653,100,0.22281099995780096,0.0,0
7,241–280,6,6,0.4096650000064983,1.036785999986023,1.0673760000372567,100,0.16053799993187567,0.0,0
7,241–280,7,7,0.3497459999834973,0.863910000020951,0.8965760000592127,100,0.21255099989048176,0.0,0
7,241–280,8,8,0.35753599991039664,0.8989049999854615,0.9340080000583839,100,0.21585699994375318,0.0,0
7,241–280,9,9,0.3372170000375263,0.8320169999933569,0.8646370000633397,100,0.2171659999703479,0.0,0
7,241–280,10,10,0.41422699996473966,1.019745000007788,1.0523899999270725,100,0.09618599995064869,0.0,0
7,241–280,11,11,0.3217680000489054,0.8871590000580909,0.919543000009071,100,0.19628199993348971,0.0,0
7,241–280,12,12,0.2834460000258332,0.8487630000217905,0.8810890000177096,100,0.19009799996183574,0.0,0
7,241–280,13,13,0.3409380000221063,0.8545399999775327,0.889920000076927,100,0.22549499988144817,0.0,0
7,241–280,14,14,0.4866070000844047,0.9808079998947505,1.0119539999777771,100,0.20371599998725287,0.0,0
7,241–280,15,15,0.3388290000430061,0.8481290000190711,0.88152099999661,100,0.20666499995058984,0.0,0
7,241–280,16,16,0.328325999930712,0.8728199999268327,0.9044009999570335,100,0.22114099999726022,0.0,0
7,241–280,17,17,0.3975719999971261,0.9875270000065939,1.0197340000104305,100,0.153198999896631,0.0,0
7,241–280,18,18,0.3413469999031804,0.8633280000367449,0.8987950000118872,100,0.21100099991144816,0.0,0
7,241–280,19,19,0.324090000049182,0.8536459999959334,0.8853699999917808,100,0.2102270000250428,0.0,0
7,241–280,20,20,0.47031999997670937,1.1333889999605162,1.1845960000300693,100,0.1685239999460464,0.0,0
7,241–280,21,21,0.3845879999744284,0.9441490000199337,0.9795790000453053,100,0.20568599995840486,0.0,0
7,241–280,22,22,0.2786950000199795,0.8415820000209351,0.8722599999373415,100,0.17566299993632128,0.0,0
7,241–280,23,23,0.3708539999252025,0.9240519999593744,0.957324000069093,100,0.2121119998719223,0.0,0
7,241–280,24,24,0.272825000024568,0.8781400000543726,0.9105269999736265,100,0.1577279999764869,0.0,0
7,241–280,25,25,0.4175430000259439,0.9844150000617446,1.01863100007904,100,0.16347099995073222,0.0,0
7,241–280,26,26,0.4601630000706791,1.020334000031653,1.055344999940644,100,0.16919899996992172,0.0,0
7,241–280,27,27,0.31008899998141715,0.819391999925756,0.849714000082713,100,0.20454299999528303,0.0,0
7,241–280,28,28,0.35647599997901125,0.8458429999791406,0.885597999968013,100,0.21130799996171845,0.0,0
7,241–280,29,29,0.3646919999482634,0.860124000041651,0.8909099999527825,100,0.1967599999943559,0.0,0
7,241–280,30,30,0.32432700004392245,0.8932939999795053,0.9292279999044695,100,0.20336399995812826,0.0,0
7,241–280,31,31,0.32281500000408414,0.8107919999247315,0.8400089999440752,100,0.21497699992778507,0.0,0
7,241–280,32,32,0.4291489999559417,1.0580279999885533,1.0899320000135049,100,0.1647299999376628,0.0,0
7,241–280,33,33,0.2831379999861383,0.7882080000172209,0.8191230000420546,100,0.21688399988306628,0.0,0
7,241–280,34,34,0.38748100007524044,0.8920430000216584,0.9244499999567779,100,0.2170899999782705,0.0,0
7,241–280,35,35,0.3257450000546669,0.8457809999526944,0.876951000009285,100,0.21724800001265976,0.0,0
7,241–280,36,36,0.4149169999436708,1.032052000027761,1.068166999971254,100,0.2139949999673263,0.0,0
7,241–280,37,37,0.3213549999827592,0.8557630000041172,0.8883249998916654,100,0.21996699990722846,0.0,0
7,241–280,38,38,0.3057779999835475,0.804633000029753,0.8350850000624632,100,0.2131559999725141,0.0,0
7,241–280,39,39,0.311243999931321,0.8671039998944252,0.9000359999618013,100,0.20645699999022327,0.0,0
7,241–280,40,40,0.30288300001757307,0.8679149999579749,0.9011800000280346,100,0.1983859999654669,0.0,0
8,281–320,1,1,0.30341799993038876,0.8766259999219983,0.9088819999760744,100,0.19235899992509076,0.0,0
8,281–320,2,2,0.2789700000676021,0.7835779999822989,0.8169139999836261,100,0.18739999995887047,0.0,0
8,281–320,3,3,0.32950399997844215,0.8202899999787405,0.8521739999878264,100,0.2083059998767567,0.0,0
8,281–320,4,4,0.3374749999238702,0.8243600000241713,0.8554419999882157,100,0.2183569999942847,0.0,0
